web-scraper-order,web-scraper-start-url,Title,Study Code,Lead Researcher,Study type,Institution or Company,Speciality area,Summary
1616638257-2862,https://bioresource.nihr.ac.uk/studies/?page=2#articles,Inception - Individuals under investigation for possible IBD or newly diagnosed with IBD,"Study code
NBR06 / CBR147","Lead researcher
Dr Miles Parkes","Study type
Participant re-contact","Institution or company
University of Cambridge","Speciality area
Gastroenterology","Ulcerative Colitis (UC) and Crohn’s Disease (CD) are chronic inflammatory bowel conditions, collectively known as Inflammatory Bowel Disease (IBD), the cause of which is unknown. Proposed hypotheses encompass an interaction between genetic predisposition and environmental factors. Previous studies have demonstrated a higher incidence (number of new cases) and more aggressive disease course in ethnic groups. Studying changing incidence of disease in ethnic populations who have migrated from abroad offers a unique opportunity to examine dietary and environmental factors that may contribute to disease presentation. We propose a multi-centre prospective cohort study to enrol all new cases of IBD and study the contribution of ethnic diversity. The study will be designed to examine the role of diet and the gut bacteria and define variables that may predict response to therapy by integrating clinical data with stool sample collections to examine the gut microbiota (the population of gut bacteria living in our intestine). The newly diagnosed inception cohort will be followed up for specific outcomes such as adverse drug events, surgery, pregnancy, and disease complications including cancer. The study will generate a collaborative network of UK-based centres to collect data on the epidemiology and outcomes of IBD via a standardised, validated web based database. [Text from ethics submission]"
1616638250-2859,https://bioresource.nihr.ac.uk/studies/?page=2#articles,Determining an important functional role for integrins in regulating immune responses in IBD,"Study code
NBR09 / CBR172","Lead researcher
Prof. Mark Travis","Study type
Participant re-contact","Institution or company
University of Manchester","Speciality area
Gastroenterology","We are interested in how immune cells work, and how differences in immune-related genes may predispose to inflammatory bowel disease (IBD). We are looking at the genes, molecules and cells that keep our intestines healthy, and how these go wrong to cause IBD. This work aims to identify new targets for therapy, and provide information on potential risk of developing IBD."
1616638259-2863,https://bioresource.nihr.ac.uk/studies/?page=2#articles,Cholesterol efflux pathways in monocytes and the genetic risk of atherosclerosis,"Study code
NBR04","Lead researcher
Prof. Martin Bennett","Study type
Samples and data","Institution or company
University of Cambridge","Speciality area
Cardiovascular Disease, Genomics and Rare Diseases",To be added
1616638233-2852,https://bioresource.nihr.ac.uk/studies/?page=3#articles,Impute - 50K imputation at Sanger,"Study code
NBR17","Lead researcher
Dr Jyoti Khadake","Study type
Data only","Institution or company
University of Cambridge","Speciality area
Cross-cutting, Genomics and Rare Diseases",.
1616638240-2855,https://bioresource.nihr.ac.uk/studies/?page=3#articles,Genome-wide association studies of circulating blood metabolites,"Study code
NBR13","Lead researcher
Prof. Tim Spector","Study type
Data only","Institution or company
King's College London","Speciality area
Genomics and Rare Diseases",Metabolites are small molecules that vary widely across individuals as a result of genetic and environmental exposures. They are the bridge between our genes and diseases. We want to identify genetic markers of human metabolites to improve our understanding of diseases and potentially new drug development
1616638235-2853,https://bioresource.nihr.ac.uk/studies/?page=3#articles,The PREdiCCt (The PRognostic effect of Environmental factors in Crohn’s and Colitis) Study,"Study code
NBR16","Lead researcher
Dr Charlie Lees","Study type
Participant re-contact","Institution or company
University of Edinburgh","Speciality area
Gastroenterology","PREdiCCt is looking to increase understanding of how environmental factors, diet, and the gut micro-organisms influence Inflammatory Bowel Disease flare and recovery.​ The study is a multi-centre, prospective, cohort study that aims to recruit 3100 patients (1550 Ulcerative Colitis / 1550 Crohn’s Disease) with IBD who are in clinical remission. Baseline variables collected at study entry will be compared with those collected at disease flare (outcome)."
1616638225-2848,https://bioresource.nihr.ac.uk/studies/?page=3#articles,CMV infection in inflammatory bowel disease,"Study code
NBR22","Lead researcher
Prof. Holm Uhlig","Study type
Samples and data","Institution or company
University of Oxford","Speciality area
Gastroenterology, Infection","Cytomegalovirus (CMV) infection has a massive – but subclinical - impact on host immunity, Despite its long association with the gut, however, little is known about its impact in the steady state and interaction with genetic risk factors."
1616638238-2854,https://bioresource.nihr.ac.uk/studies/?page=3#articles,Discovery of metabolite biomarkers in rare diseases,"Study code
NBR14","Lead researcher
Dr Leonardo Bottolo","Study type
Data only","Institution or company
University of Cambridge","Speciality area
Genomics and Rare Diseases","Metabolites are the end-products of gene expression, which are closely related to protein and enzymatic reactions. With the advent of metabolomics as a powerful tool for both biomarker discovery and understanding functional consequences, the identification of specific differences between complex metabolite profiles is becoming an important step in the data analysis pipeline. So far metabonomic profiles have provided potential biomarkers for screening complex disorders such as cardiovascular diseases, kidney disorders, type 2 diabetes, etc. and they enhance accuracy of diagnosis of hyperlipidemia and atherosclerosis. However little is known about the discriminatory power of metabonomic profiles for differential diagnosis of several rare diseases."
1616638231-2851,https://bioresource.nihr.ac.uk/studies/?page=3#articles,Genetics and metagenome studies in orofacial granulomatosis,"Study code
NBR18","Lead researcher
Dr Natalie Prescott","Study type
Participant re-contact","Institution or company
Kings College London","Speciality area
Genomics and Rare Diseases, Gastroenterology","In some individuals, Crohn’s disease affects the mouth causing cracked swollen lips and painful oral ulceration.  This pattern of CD carries a disproportionate psychological burden as patients feel their disease is visible to others with a major negative impact on their self-esteem and ability to form relationships."
1616638227-2849,https://bioresource.nihr.ac.uk/studies/?page=3#articles,Mechanism linking NOD2 with MHC class I antigen presentation,"Study code
NBR21","Lead researcher
Prof. Alison Simmons","Study type
Participant re-contact","Institution or company
University of Oxford","Speciality area
Gastroenterology","This study involves delineating how the strongest genetic risk factor for Crohn’s disease affects specific immune responses. We have found that this factor, NOD2, normally influences the nature of T cell responses when it detects microbes. We have mapped the molecules involved in this sensing process and wish to examine if Crohn’s patients with genetic risk factors in NOD2 show defective T cell responses as a result. Defining such pathways generates novel platforms to repair any defects identified therapeutically."
1616638229-2850,https://bioresource.nihr.ac.uk/studies/?page=3#articles,PANTS - Genetics of immunogenicity to anti-TNF drugs,"Study code
NBR20","Lead researcher
Dr Tariq Ahmed","Study type
Samples and data","Institution or company
University of Exeter","Speciality area
Gastroenterology, Genomics and Rare Diseases",To investigate the genetic susceptibility to anti-drug antibody formation. Specifically we aim to replicate our initial findings from the prospective PANTS cohort.
1616638242-2856,https://bioresource.nihr.ac.uk/studies/?page=3#articles,"GEM – Genetic, environmental, microbial project","Study code
NBR12","Lead researcher
Dr Miles Parkes","Study type
Participant re-contact","Institution or company
University of Cambridge","Speciality area
Genomics and Rare Diseases, Gastroenterology",The goal of the GEM study is to identify environmental and microbial risk factors for Crohn’s disease by prospectively recruiting and sampling from a large cohort of individuals who are at high risk of developing Crohn’s disease by virtue of having an affected first degree relative. This reduces the confounding effect that gut inflammation has on the gut microbiota – which has always fundamentally undermined attempts to define microbial triggers for IBD.
1616638214-2844,https://bioresource.nihr.ac.uk/studies/?page=4#articles,Molecular investigation of genetic factors in cardiovascular and immune-related traits and diseases using a bioresource of healthy volunteers (GENBIO),"Study code
NBR26","Lead researcher
Dr Dirk Paul","Study type
Participant re-contact","Institution or company
University of Cambridge","Speciality area
Cardiovascular Disease","Our study aims to compare two groups of healthy volunteers – those who carry functional variants and those who do not. We will measure a range of molecular and cellular markers, as well as physiological parameters.  This will enable us to determine the distinct molecular and cellular mechanisms underlying functional variants identified for cardiovascular and immune-related diseases. Results from these studies will improve our understanding of the mechanisms of disease, potentially leading to better diagnosis, tailored prevention and treatment."
1616638220-2847,https://bioresource.nihr.ac.uk/studies/?page=4#articles,The genetic correlates of cognitive flexibility and their links to ideological thinking,"Study code
NBR23","Lead researcher
Prof. Trevor Robbins","Study type
Participant re-contact","Institution or company
University of Cambridge","Speciality area
Neurological Disorders","We have already recruited 1200 participants online but would like to increase this. We are now seeking to extend our established online studies with a genetic sample, to allow us to investigate the genetic correlates of the psychological phenomena of interest. Participants will be asked to complete an online survey from their personal computer or laptop and we will use data from their sample previously donated to the BioResource."
1616638216-2845,https://bioresource.nihr.ac.uk/studies/?page=4#articles,Generation of pluripotent stem cell lines to test novel compounds for the treatment of disease,"Study code
NBR25","Lead researcher
Dr David Bunton","Study type
Participant re-contact","Institution or company
REPROCELL Europe Ltd","Speciality area
Ophthalmology","iPSCs are somatic cells (non-reproductive cells) that are manually reprogrammed in the laboratory to become pluripotent, that is they have an ability to become different cell types."
1616638210-2842,https://bioresource.nihr.ac.uk/studies/?page=4#articles,Assessing whole genome sequencing as a diagnostic test for mitochondrial disease.,"Study code
NBR29","Lead researcher
Prof. Patrick Chinnery","Study type
Samples and data","Institution or company
University of Cambridge","Speciality area
Genomics and Rare Diseases","Mitochondria are organelles which produce energy in nearly all the cells in the human body. They contain their own DNA, mtDNA, which is distinct from the DNA in the nucleus. Mutations in this mtDNA can cause mitochondrial disease, where the cells are unable to make enough energy, which often presents with variable neuromuscular phenotypes."
1616638207-2841,https://bioresource.nihr.ac.uk/studies/?page=4#articles,Genotype and Phenotype in Inherited Neurodegenerative Diseases,"Study code
NBR32","Lead researcher
Prof. Patrick Chinnery","Study type
Samples and data","Institution or company
University of Cambridge","Speciality area
Neurological Disorders","The aim of this project is to measure the levels of various metabolites in the serum of mitochondrial disease patients, and compare these to the levels found in ‘healthy volunteers’ in the general population."
1616638218-2846,https://bioresource.nihr.ac.uk/studies/?page=4#articles,Investigation of genetic susceptibility markers to arthritic conditions and how they contribute to disease,"Study code
NBR24","Lead researcher
Dr Annie Yarwood","Study type
Participant re-contact","Institution or company
University of Manchester","Speciality area
Musculoskeletal Disorders","Over the last 10 years significant progress has been made identifying variants in DNA which predispose people to arthritic diseases including rheumatoid arthritis, juvenile idiopathic arthritis and psoriatic arthritis.  The challenge now is to determine how these genetic changes contribute to disease, alter treatment response or determine disease outcome. This study will investigate how possessing an ‘at risk’ genotype could influence disease in terms of DNA structure, gene regulation, protein expression and cellular function in healthy volunteers. This will provide a better understanding of the important molecules, pathways and cells which are altered by genetic susceptibility variants and how they may result in disease. This study has the potential to identify novel targets for therapy which could lead to drug repositioning or novel therapies being developed."
1616638212-2843,https://bioresource.nihr.ac.uk/studies/?page=4#articles,Crohn’s Anal Fistula Quality of Life Scale,"Study code
NBR28","Lead researcher
Dr Alisa Hart","Study type
Participant re-contact","Institution or company
London NW Healthcare NHS Trust","Speciality area
Gastroenterology","About a third of all people with Crohn’s disease (CD) develop perianal fistulas. These are often difficult to treat and can have a major impact on quality of life, affecting physical and emotional wellbeing, social and professional life, educational activities and intimate relationships."
1616638203-2839,https://bioresource.nihr.ac.uk/studies/?page=4#articles,IBD-Boost Survey: fatigue pain and urgency in IBD,"Study code
NBR34","Lead researcher
Prof. Christine Norton","Study type
Participant re-contact","Institution or company
King's College London","Speciality area
Gastroenterology","In remission, many people with IBD live with fatigue, chronic abdominal pain, and bowel urgency/incontinence. Most previous IBD research has focused on controlling inflammation. However, many people report continuing IBD-related fatigue (41%), abdominal pain (62%) and difficulty with continence (up to 75%) even when IBD is in remission. These symptoms limit peoples’ quality of life and ability to work and socialise. Patients feel these symptoms are not taken seriously by health professionals and report that little help is currently given. The James Lind Alliance IBD research priority-setting consensus put fatigue, pain, and continence in the top 10 issues that IBD patients and clinicians want to be addressed by research."
1616638205-2840,https://bioresource.nihr.ac.uk/studies/?page=4#articles,NOVID – Role of DNA non-coding variants in von Willebrand disease,"Study code
NBR33","Lead researcher
Prof. Mike Laffan","Study type
Samples and data","Institution or company
Imperial College London","Speciality area
Genomics and Rare Diseases, Haematology","Von Willebrand factor (VWF) is a large protein that helps the blood to clot. Most VWF in the body is produced in the cells that line blood vessels, called endothelial cells, and it is then released into the blood. Additionally, a much smaller amount of VWF is found in tiny blood cells, called platelets, that also help to form a clot in case of injury."
1616638192-2835,https://bioresource.nihr.ac.uk/studies/?page=5#articles,ROVIM – Role of blood group VEL in metabolism.,"Study code
NBR39","Lead researcher
Dr Mattia Frontini","Study type
Participant re-contact","Institution or company
University of Cambridge","Speciality area
Metabolic and Endocrine Disorders, Haematology","The antigen determining the blood group Vel is the Smim1 protein. The role of the Smim1 protein is elusive, but the genetic analysis of UK Biobank participants determined that this gene is associated with several red blood cell parameters and also, unexpectedly, with weight, body mass and fat accumulation that are typically observed when there is an energy imbalance.  The absence of the high frequency blood group Vel is determined by a 17 base pairs deletion in both copies of the SMIM1 gene which is present in 1 in 5000 English blood donors. With this project we would like to determine the causes of the energy imbalance observed in individuals lacking the Vel blood group."
1616638186-2832,https://bioresource.nihr.ac.uk/studies/?page=5#articles,Determining the role of HLA variation in inflammatory bowel disease,"Study code
NBR42","Lead researcher
Prof. Jack Satsangi","Study type
Participant re-contact","Institution or company
University of Oxford","Speciality area
Gastroenterology","Inflammatory Bowel Diseases (IBD) are inflammatory disorders that affect the gastrointestinal tract, of which the main types are Crohn’s disease (CD) and ulcerative colitis (UC). There is no cure for these often life-changing severe diseases, but a number of medications have been introduced that target the body's immune response in an attempt to control symptoms. Biologics, as they are known, are an important addition to these medications. The most widely used biologics target an immune modulator known as Tumour Necrosis Factor, or TNF, which contributes to the characteristic inflammation seen in CD and UC patients. While highly effective therapies in some individuals, the use of biologics is limited by a percentage of patients (10-40%) who do not respond at all to these therapies (primary non-response) and by loss of response (in 24-46% of patients) to treatment in the first year. Secondary loss of response is commonly due to a patient's development of antibodies against the medication, rendering it less effective over time."
1616638199-2838,https://bioresource.nihr.ac.uk/studies/?page=5#articles,Pulmonary Arterial Hypertension Associated ATP13A3 Mutations,"Study code
NBR35","Lead researcher
Prof. Nick Morrell","Study type
Participant re-contact","Institution or company
University of Cambridge","Speciality area
Cardiovascular Disease, Genomics and Rare Diseases","Pulmonary arterial hypertension is a rare disease leading to sufferers becoming increasingly breathless. This is caused by the walls of the blood vessels in the lungs becoming thicker and narrower. This reduces the ability of these vessels to cope with the normal blood flow and puts more strain on the right side of the heart. If the patients are not treated, the right heart fails by 2-3 years after the disease has been identified. The drugs that are available can roughly double this survival period, but the only complete cure currently available is a heart-lung transplant."
1616638195-2836,https://bioresource.nihr.ac.uk/studies/?page=5#articles,Understanding contributions of T cell determining factors in the pathogenesis of IBD,"Study code
NBR38","Lead researcher
Prof. Adrian Hayday","Study type
Samples and data","Institution or company
King's College London","Speciality area
Gastroenterology","The human intestine is vital in maintaining a person’s nutritional status. In order to do this, the bowel is lined by a specialised layer of absorptive cells called the epithelium which forms a barrier a single cell thick between the gut contents and the body. A breakdown in the integrity of this layer is thought to be one of the primary insults which leads to the development of inflammatory bowel disease (IBD)."
1616638190-2834,https://bioresource.nihr.ac.uk/studies/?page=5#articles,IBD Risk Alleles – Effect of genetic variants associated with risk for inflammatory disease on immune cell phenotype and function.,"Study code
NBR40","Lead researcher
Dr Carl Anderson","Study type
Participant re-contact","Institution or company
Wellcome Sanger Institute","Speciality area
Gastroenterology",".In the UK, at least 300,000 people have inflammatory bowel disease (IBD; which includes Crohn's disease and ulcerative colitis). IBD leads to chronic inflammation in parts of the digestive system and it is thought to occur due to an abnormal response to harmless bacteria in the gut. This response is believed to be a consequence of a complex interaction between environmental and genetic factors. Our group and others have used genetic association studies (GWAS) to identify over 240 regions of the genome that increase susceptibility to IBD. Some of these regions are within well-known genes that interfere with the immunological response. However, most of them have no defined mechanism of action. Understanding how these variants contribute to someone developing IBD is important for our biological understanding of disease mechanisms and the development of novel therapies. In this project we aim to investigate the mechanisms by which four genetic variants increase the risk of developing IBD. These genetic variants are likely to play a role in the production and/or response to inflammatory mediators important in IBD. We will analyse changes in the gene expression and function of immune cells comparing individuals carrying the risk variants with those carrying the non-risk variants. Our studies aim to increase our understanding of how genetic variants affect the individual’s immune function and might contribute to their increased risk for developing IBD."
1616638184-2831,https://bioresource.nihr.ac.uk/studies/?page=5#articles,Functional analysis of primary immunodeficiency-associated gene variants,"Study code
NBR43","Lead researcher
Prof. Ken Smith","Study type
Participant re-contact","Institution or company
University of Cambridge","Speciality area
Genomics and Rare Diseases",.
1616638197-2837,https://bioresource.nihr.ac.uk/studies/?page=5#articles,AdipO2 – Body fat distribution and diabetes risk: the role of adipose tissue oxygen metabolism,"Study code
NBR37","Lead researcher
Dr Konstantinos Manolopoulos","Study type
Samples and data","Institution or company
University of Birmingham","Speciality area
Metabolic and Endocrine Disorders","Fat tissue plays an important role in human metabolism as it stores energy derived from meals. However, fat accumulation as seen in obesity is associated with cardiovascular disease and the development of diabetes, and is also linked to inflammation. In this research project, we will study the relationship between fat tissue oxygen metabolism  (an  important  metabolic  factor)  and  inflammation  in  lean  and  obese  subjects.  We  wish  to  explore the mechanisms  by which oxygen  affects  abdominal and  thigh  fat  function  including  nutrient  handling  and  the production of inflammatory factors, since a deeper understanding of these mechanisms could pave the way for future treatments of obesity complications. We will conduct an in vivo physiology study in healthy lean and obese postmenopausal female volunteers that will allow us to study fat tissue function under near-normal conditions. The in vivo study involves taking blood samples from veins specifically draining fat tissue before and after a standardised high-fat meal, alongside measurements of fat tissue blood flow. These measurements are supplemented with extensive lab-based characterisation of fat tissue from biopsies taken during the in vivo study."
1616638188-2833,https://bioresource.nihr.ac.uk/studies/?page=5#articles,"ROTEC – Inherited changes leading to altered levels of a blood protein, tissue factor pathway inhibitor and risk of cardiovascular disease","Study code
NBR41","Lead researcher
Dr William Astle","Study type
Participant re-contact","Institution or company
University of Cambridge","Speciality area
Haematology, Cardiovascular Disease","Tissue factor pathway inhibitor (TFPI) is a protein released into the blood stream by small blood cells called platelets and the cells lining blood vessels. TFPI provides a brake on the body’s clotting system such that if levels are increased this reduces the tendency of a person to form a blood clot. A recent large study in healthy volunteers showed that a common change in the DNA code (called a variant) affects the levels of TFPI. In our study, ROTEC, we will invite 20 participants from the NIHR BioResource to have a blood sample taken, which we will use to work out why these different TFPI levels occur in persons with and without the variant. We anticipate this research will help to identify potential new reasons for why some people are more prone to blood clots and cardiovascular diseases than others and help researchers find novel treatments for reducing the risk of conditions such as heart attacks and strokes."
1616638182-2830,https://bioresource.nihr.ac.uk/studies/?page=5#articles,The effect of SSRIs on threat of shock potentiated neural circuitry,"Study code
NBR45","Lead researcher
Dr Oliver Robinson","Study type
Participant re-contact","Institution or company
University College London","Speciality area
Mental Health",.
1616638160-2821,https://bioresource.nihr.ac.uk/studies/?page=6#articles,Internal study code for generation of genetic data - Thermofisher Affymetrix UK Biobank V2.1,"Study code
NBR31","Lead researcher
Jyoti Khadake","Study type
Data only","Institution or company
NIHR BioResource","Speciality area
Genomics and Rare Diseases",Internal data only
1616638173-2827,https://bioresource.nihr.ac.uk/studies/?page=6#articles,GENBIO-SWAP70 – Identifying the cell type-specific roles of the coronary artery disease risk gene SWAP70,"Study code
NBR50","Lead researcher
Dr Dirk Paul","Study type
Participant re-contact","Institution or company
University of Cambridge","Speciality area
Cardiovascular Disease","This is a research study looking at cardiovascular disease (e.g. heart attacks, stroke) and immune-related diseases (e.g. type I diabetes). The purpose of this study is to identify and characterise the complex biological pathways that drive the development of these diseases."
1616638171-2826,https://bioresource.nihr.ac.uk/studies/?page=6#articles,LATTICE – Safety & efficacy of BMS-986165 in participants with moderate-to-severe Crohn’s Disease,"Study code
NBR52","Lead researcher
Dr Tim Raine","Study type
Participant re-contact","Institution or company
University of Cambridge/BMS","Speciality area
Gastroenterology","This is an investigational study, also known as LATTICE, of the experimental medication BMS-986165 in patients with moderate to severe Crohn's Disease, a chronic bowel disease that causes severe inflammation of the digestive tract. MS-986165 is an investigational oral, selective tyrosine kinase 2 (TYK2) inhibitor, which has been studied in a phase 2 trial of patients with moderate to severe plaque psoriasis (https://news.bms.com/pressrelease/bristolmyers/bristol-myers-squibbs-novel-oral-selective-tyk2-inhibitor-delivered-signi). The study is a phase 2 randomized, double-blind, placebo-controlled study of the safety and efficacy of BMS986165."
1616638163-2822,https://bioresource.nihr.ac.uk/studies/?page=6#articles,The effects of the microbiome on the B cell receptor repertoire in patients with Ulcerative Colitis,"Study code
NBR62","Lead researcher
Professor Ken Smith","Study type
Participant re-contact","Institution or company
University of Cambridge","Speciality area
Gastroenterology",The effects of the microbiome on the B cell receptor repertoire in patients with Ulcerative Colitis.  Part of the IBD BioResource
1616638167-2824,https://bioresource.nihr.ac.uk/studies/?page=6#articles,Smoking effects on NF-kappa B activation in intestinal epithelial and immune cells from IBD patients,"Study code
NBR57","Lead researcher
Dr Chris Probert","Study type
Participant re-contact","Institution or company
University of Liverpool","Speciality area
Gastroenterology",Smoking effects on NF-kappa B activation in intestinal epithelial and immune cells from IBD patients.  Part of IBD BioResource
1616638169-2825,https://bioresource.nihr.ac.uk/studies/?page=6#articles,SPIT Study - Diagnosing Cohn's disease based on salivary epigenetics,"Study code
NBR56","Lead researcher
Prof. Laurence Lovat","Study type
Participant re-contact","Institution or company
University College London","Speciality area
Gastroenterology, Genomics and Rare Diseases",SPIT Study - Diagnosing Cohn's disease based on salivary epigenetics.  Part of IBD BioResource
1616638178-2829,https://bioresource.nihr.ac.uk/studies/?page=6#articles,MODULATE – Management of diarrhoea in ulcerative colitis,"Study code
NBR47","Lead researcher
Prof. Alexander Ford","Study type
Participant re-contact","Institution or company
University of Leeds","Speciality area
Gastroenterology","The MODULATE study aims to find out if other treatments are effective in relieving diarrhoea symptoms in people with stable UC. This is the first study to explore this, and we hope that the results will lead to more effective treatments for this group of patients."
1616638165-2823,https://bioresource.nihr.ac.uk/studies/?page=6#articles,METRIC-EF: Magnetic Resonance Enterography and Small Bowel Ultrasound as predictors of disabling disease in newly-diagnosed Crohn’s disease,"Study code
NBR58","Lead researcher
Professor Stuart Taylor","Study type
Participant re-contact","Institution or company
University College London","Speciality area
Gastroenterology",METRIC-EF: Magnetic Resonance Enterography and Small Bowel Ultrasound as predictors of disabling disease in newly-diagnosed Crohn’s disease.  Part of IBD BioResource
1616638175-2828,https://bioresource.nihr.ac.uk/studies/?page=6#articles,A longitudinal study of childlessness in women with Inflammatory bowel disease,"Study code
NBR48","Lead researcher
Dr Christian Selinger","Study type
Participant re-contact","Institution or company
St. James University Hospitals, Leeds","Speciality area
Gastroenterology",.
1616638152-2818,https://bioresource.nihr.ac.uk/studies/?page=7#articles,BRIDGE genomic analysis of neuropathic pain disorders,"Study code
DAA004","Lead researcher
Georgios Baskozos","Study type
Data only","Institution or company
University of Oxford","Speciality area
Genomics and Rare Diseases",Neuropathic pain affects 6-8% of the population and current treatments are inadequate. There is a need to develop novel analgesics and better target existing therapies. This requires improved understanding of pathophysiological mechanisms in patients.
1616638139-2812,https://bioresource.nihr.ac.uk/studies/?page=7#articles,von Wiilebrand factor - access to Gene Docs application,"Study code
DAA012","Lead researcher
Dr Reuben Bierings","Study type
Data only","Institution or company
Erasmus University Medical Center, Netherlands","Speciality area
Genomics and Rare Diseases, Haematology",NA
1616638141-2813,https://bioresource.nihr.ac.uk/studies/?page=7#articles,Primary Immunodeficieny,"Study code
DAA009","Lead researcher
Paul Lyons","Study type
Data only","Institution or company
University of Cambridge","Speciality area
Genomics and Rare Diseases","Primary immunodeficiency (PID) is characterised by recurrent and often life-threatening infections, autoimmunity and cancer, and it presents major diagnostic and therapeutic challenges. Although the most severe forms present in early childhood, the majority of patients present in adulthood, typically with no apparent family history and a variable clinical phenotype of widespread immune dysregulation. Consequently, in sporadic PID genetic diagnosis is difficult and the role of genetics is not well defined. We have addressed this by performing whole genome sequencing of a large cohort of PID patients. This analysis has identified new genes contributing to PID and deepened our understanding of the key pathways determining variation in human immune  responsiveness."
1616638154-2819,https://bioresource.nihr.ac.uk/studies/?page=7#articles,Genetic Variation in Coagulation Factors and Risk of Haemorrhage,"Study code
DAA002","Lead researcher
Ms Erlinda Dedgjonaj","Study type
Data only","Institution or company
Imperial College London","Speciality area
Genomics and Rare Diseases","The function of the coagulation system is to ameliorate blood loss (haemorrhage) by clotting when the integrity of a blood vessel wall has been breached. The formation of a blood clot depends on a cascade of interactions between numerous proteins in the blood to generate fibrin which stabilises the primary platelet plug. The concentrations of these proteins vary considerably between individuals and it has been hypothesised that the concentration of certain coagulation factors in the blood may be a significant determinant of the risk of bleeding or haemorrhage, including the risk of major haemorrhage during surgery and after trauma. Recent advances in molecular measuring technology have allowed the systematic measurement of concentrations of selected proteins in blood plasma, in thousand of participants in epidemiological cohorts. Genome-wide association studies have identified hundreds of alleles associated with concretions of proteins, many of which are coagulation factors (e.g. Sun et al 2018). We will use genetic data from the INTERVAL cohort to build models to predict variation in coagulation factor levels. We will apply these models to the NIHR rare disease sequencing cohort and determine whether the genetically predicted coagulation factor levels are are associated with bleeding phenotypes."
1616638150-2817,https://bioresource.nihr.ac.uk/studies/?page=7#articles,Nanopore sequencing project,"Study code
DAA005","Lead researcher
Prof. Willem Ouwehand","Study type
Data only","Institution or company
University of Cambridge","Speciality area
Genomics and Rare Diseases, Haematology",NA
1616638156-2820,https://bioresource.nihr.ac.uk/studies/?page=7#articles,COvid-19 PsychIatry and Neurological Genetics (COPING) study,"Study code
NBR68","Lead researcher
Professor Gerome Breen","Study type
Participant re-contact","Institution or company
King's College London, Mental Health BioResource","Speciality area
Mental Health, Genomics and Rare Diseases, Neurological Disorders",COVID-19 study.
1616638147-2816,https://bioresource.nihr.ac.uk/studies/?page=7#articles,Genetic Regulation of platelet GPVI Dimer Levels in Healthy Individuals,"Study code
DAA006","Lead researcher
Kate Downes","Study type
Data only","Institution or company
University of Cambridge","Speciality area
Haematology, Genomics and Rare Diseases","The platelet collagen receptor, glycoprotein VI (GPVI), plays a critical role in platelet activation and clot formation leading to patients suffering from cardiovascular diseases including stroke.  Recent understanding of the active structure of the GPVI receptor and experimental studies suggest that this receptor is a potential new drug target to prevent adverse clotting."
1616638143-2814,https://bioresource.nihr.ac.uk/studies/?page=7#articles,Contribution of polygenic scores to hematological traits and diseases,"Study code
DAA008","Lead researcher
Dragana Vuckovic","Study type
Data only","Institution or company
Wellcome Sanger Institute","Speciality area
Genomics and Rare Diseases, Haematology","We have recently performed strongly statistically powered genotype-phenotype association studies and identified thousands of genetic variants involved in blood cell production. These variants together can explain a large amount of variability in blood cell composition among healthy individuals. However, it is unknown if and how they contribute to blood related diseases. We would like to use data from participants from the NIHR BioResource project for whom full blood count data are available to investigate whether a genetic predisposition to high or low blood cell counts may predict disease status in patients for whom no causal variants have been reported. Furthermore, we curated a list of new candidate variants that show statistic evidence of potential pathogenicity. We would like to check for the presence of these variants in the above patients, in order to validate the findings."
1616638145-2815,https://bioresource.nihr.ac.uk/studies/?page=7#articles,Idiopathic Nephrotic Syndrome,"Study code
DAA007","Lead researcher
Amy Osborne","Study type
Data only","Institution or company
University of Bristol","Speciality area
Kidney Disorders, Genomics and Rare Diseases","Idiopathic Nephrotic Syndrome (INS) is a very rare kidney condition that causes kidneys to leak a huge amount of protein into the urine. This may lead to kidney failure and require a transplant. Although rare, INS is one of the most difficult to manage kidney diseases in children and adults. This project aims to develop computational tools that will help to better understand this disease, improve diagnosis and treatment strategy."
1616638133-2810,https://bioresource.nihr.ac.uk/studies/?page=8#articles,Whole Genome Sequencing and Analysis to identify new isease genes for hypertrophic cardiomyopathy,"Study code
DAA014","Lead researcher
Dr Ashley Pritchard","Study type
Data only","Institution or company
Oxford University Hospitals NHS Foundation Trust","Speciality area
Cardiovascular Disease, Genomics and Rare Diseases",NA
1616638120-2804,https://bioresource.nihr.ac.uk/studies/?page=8#articles,Paediatric Bone Marrow Failure Syndromes (Stem Cell and myeloid disorders),"Study code
DAA032","Lead researcher
Prof. Adam Mead","Study type
Data only","Institution or company
University of Oxford","Speciality area
Genomics and Rare Diseases, Children and Young People",NA
1616638130-2809,https://bioresource.nihr.ac.uk/studies/?page=8#articles,PMG (Primary Membranoproliferative glomerulonephritis and C3 Glomerulopathy),"Study code
DAA015","Lead researcher
John Armour","Study type
Data only","Institution or company
University of Nottingham","Speciality area
Kidney Disorders, Genomics and Rare Diseases",We aim to find out if the number of copies and types of genes called Alpha Defensins has any influence on the risk of inflammatory kidney disease. We will do this by using genome sequencing data from people with and without kidney disease to read the sequence of these genes in people with and without kidney disease and see if there are any differences that suggest that Alpha Defensins play a role in the disease.
