web-scraper-order,web-scraper-start-url,Title Links,Title Links-href,Title,Name,Project Type,Committee Approval Decision Date,References,Lay Summary
1616688757-35011,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=10&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Advancing Psychiatric Mapping Translated into Innovations for Care: PsyMaptic-A,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1184,Advancing Psychiatric Mapping Translated into Innovations for Care: PsyMaptic-A,Rebecca Dliwayo,Research,16-Mar-18,References :,"Original policy implementation guidance failed to account for differences in the number of new cases of psychotic disorders by location, sociodemographic and socioeconomic factors. Having developed the PsyMaptic tool (www.psymaptic.org), we aim to: 1) Update current models to forecast demand for Early Intervention in Psychosis services based on future population projections; 2) Incorporate new research information in order to enhance the predictive ability of models; 3) Validate all models (current & new) using observed count data (including CRIS); 4)Develop models that predict future numbers of all existing (new and old) cases of psychosis at local, regional and national levels."
1616688919-35074,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=4&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Assessment of service use associated with a diagnosis of Personality Disorder,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1339,Assessment of service use associated with a diagnosis of Personality Disorder,Joseph Botham,Research,11-Apr-19,References :,"The Mental Health Policy Research Unit is working on a project for NHS England and the Dept of Health and Social Care to identify and model cost-effective methods of providing community care for service users with a diagnosis of Personality Disorder (PD). We aim to use CRIS data to better understand current service use, as well as how service use in PD differs from other serious mental illness (SMI), and to inform our economic models later on in the project."
1616688855-35049,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=7&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,"Exploring bias in the measurement of health and social functioning of adults with severe mental health problems due to time, age, and gender",https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1281,"Exploring bias in the measurement of health and social functioning of adults with severe mental health problems due to time, age, and gender",Rebecca Bendayan,Research,01-Nov-18,References :,".The Health of the Nation Outcomes Scale (HoNOS) is a measure of health and social functioning of people with severe mental illness. The main aim of this project is to explore the 'measurement invariance' of HONOS over time, age and sex - in other words, to explore if people with the same trait levels in behaviour, impairment, symptoms, and/or social functioning receive different scores in HoNOS, just because of their age, gender or time point (biased scores)."
1616687947-34691,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=42&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Length of Stay (LOS) on Psychiatric Wards,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=357,Length of Stay (LOS) on Psychiatric Wards,Alex Tulloch,Research,01-Jun-08,"References :
                            Residential Mobility among Patients Admitted to Acute Psychiatric Wards. 
Tulloch, A., Fearon, P. & David, A. S. Jul 2011 In: HEALTH AND PLACE. 17, 4, p. 859-866. 

Timing, Prevalence, Determinants and Outcomes of Homelessness among Patients Admitted to Acute Psychiatric Wards. 
Tulloch, A., Fearon, P. & David, A. S. Jul 2012 In: Social Psychiatry and Psychiatric Epidemiology. 47, 7, p. 1181-1191. 

Associations of Homelessness and Residential Mobility with Length of Stay after Acute Psychiatric Admission. 
Tulloch, A. D., Khondoker, M., Fearon, P. & David, A. S. 21 Aug 2012 In: Bmc Psychiatry. 12: 10 p.121.","This study aims to investigate the possibility of deriving automatic information from text fields on treatments received and illness severity, looking at their relationships with the length of time spent in inpatient care."
1616688569-34937,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=18&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Short and long-term outcomes in children exposed to lithium in utero: a cohort study,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=932,Short and long-term outcomes in children exposed to lithium in utero: a cohort study,Ruth Brauer,Research,31-Mar-16,References :,"Lithium therapy is widely recommended as a first-line treatment for bipolar disorder. However, infants exposed to lithium in pregnancy may be at risk of toxicity and other side effects. This study will compare lithium-exposed to non-lithium exposed pregnancies in women diagnosed with a diagnosis of bipolar disorder or major depressive disorder. The three main outcomes of interest are pregnancy complications, congenital abnormalities and short-term outcomes after birth"
1616688256-34812,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=30&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Severe Mental Illness and Physical Violence Among Female Psychiatric Inpatients in the UK,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=632,Severe Mental Illness and Physical Violence Among Female Psychiatric Inpatients in the UK,Richelle Isaak,Research,05-Dec-13,References :,This study aims to investigate a cohort of female service users from an ethnically diverse background to examine physical violence and serious mental illness.
1616688930-35079,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=4&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Using unsupervised Natural Language Processing methods for understanding and modeling vocabulary use in CRIS,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1345,Using unsupervised Natural Language Processing methods for understanding and modeling vocabulary use in CRIS,Sumithra Velupillai,Research,25-Apr-19,References :,"Natural language processing (NLP) techniques have been successfully developed to extract clinical concepts such as symptoms (hallucinations), treatments (clozapine) and diagnoses (schizophrenia) from health record text such as data from CRIS, but these methods don’t currently capture more complex concepts such as phrases, idioms and figures of speech. They are also usually developed from specific pre-defined keywords or concepts, which means that synonyms and variants are missed.We will seek to develop methods that can model more complex concepts using unsupervised, data-driven NLP approaches that automatically learn from large sets of text data."
1616688515-34915,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=20&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Association of Antidepressant Treatments for Depression with Suicidal Ideation and Behaviours – analyses of a large electronic mental health record database.,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=895,Association of Antidepressant Treatments for Depression with Suicidal Ideation and Behaviours – analyses of a large electronic mental health record database.,Andrea Fernandes,Research,05-Nov-15,References :,"Little is understood about the association of antidepressants with suicidality, especially in adults. The study aims to investigate demographic and clinical factors which predict treatment allocation to the different classes of antidepressants, and associations between treatment of depression and suicidality."
1616688274-34820,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=30&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,The Responses of Mental Health Services to Domestic Violence Perpetration,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=643,The Responses of Mental Health Services to Domestic Violence Perpetration,Sian Oram,Research,07-Jan-14,References :,"This study aims to examine how domestic violence perpetration is identified within mental health services, and how mental health professionals respond to domestic violence perpetration by service users."
1616688664-34974,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=14&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Examining the effect of antipsychotic discontinuation in a large London cohort of patients with psychosis,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1033,Examining the effect of antipsychotic discontinuation in a large London cohort of patients with psychosis,Musa Sami,Research,26-Jan-17,References :,"Trifluoperazine is a routine treatment for chronic schizophrenia, which went through significant supply problems from around 2009 and was discontinued in 2011. Anecdotally switching to alternative medication appeared to lead to a number of relapses and hospitalisations. This study aims to examine if this did in fact occur in SLAM."
1616688124-34760,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=36&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Tackling Premature Deaths in Adults with Learning Disabilities,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=519,Tackling Premature Deaths in Adults with Learning Disabilities,Jean O'Hara,Research,15-Jul-13,References :,"This project is one of a number of initiatives across KHP to facilitate better understanding of the problem, including prevalence of physical health care conditions associated with premature deaths in adults with learning difficulties and how care plans identified are delivered."
1616688284-34823,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=29&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Ethnic Disparities in Patient Journeys Within Specialist Mental Health Care in South East London,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=648,Ethnic Disparities in Patient Journeys Within Specialist Mental Health Care in South East London,Sarah Kolvenbach,Research,25-Jan-14,References :,This study aims to identify differences in patient journeys through specialist mental health care based on ethnicity. This seeks to improve understanding of the specific barriers faced by members of Minority Ethnic groups in accessing mental health services.
1616688055-34733,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=38&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,NIHR BRC Bioresource for Mental Health,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=485,NIHR BRC Bioresource for Mental Health,Caroline Johnston,Research,02-Jan-13,References :,"The Bioresource is collecting biological samples from participants who have given consent for their clinical data to be used for research.  Data will include transcriptomics, genomics (SNPs, CNVs), epigenetics, proteomics, neuroimaging and more. We plan to link this data with information from the patient's clinical record."
1616688996-35105,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=1&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Characterizing hospitalization changes after diagnoses of mental illnesses using temporal bipartite networks,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1431,Characterizing hospitalization changes after diagnoses of mental illnesses using temporal bipartite networks,Tao Wang,Research,12-Dec-19,References :,"This project will investigate diagnosis changes from hospitalizations before and after diagnoses of mental disorders, to understand relationships between mental and physical health diagnoses."
1616687989-34708,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=41&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Comparison of Rates of Cognitive Decline Between Early Onset AD and Late Onset AD,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=427,Comparison of Rates of Cognitive Decline Between Early Onset AD and Late Onset AD,Rebekah Hall,Research,11-May-10,References :,This MSc study aims to compare rates of cognitive deline between early onset AD and late onset AD.
1616688171-34779,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=34&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,"Social Risk Factors (Social Support, Ethnic Density, Social Cohesion)  of Mortality in People with Serious Mental Illness",https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=569,"Social Risk Factors (Social Support, Ethnic Density, Social Cohesion)  of Mortality in People with Serious Mental Illness",Roopal Desai,Research,30-Jul-12,References :,"This study aims to use CRIS data to investigate associations between social support, lack of social cohesion (such as violent social networks and neighbourhood deprivation), ethnic density and mortality in people with serious mental illness (SMI)."
1616688896-35065,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=5&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Risk factors for repeat detention under Section 136 of the Mental Health Act,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1320,Risk factors for repeat detention under Section 136 of the Mental Health Act,Katherine Morley,Research,30-Jan-19,References :,This project will investigate the factors associated being detained by police under Section 136 of the Mental Health Act on more than one occasion.
1616688374-34860,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=26&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Housebound and Unable to Access Services,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=750,Housebound and Unable to Access Services,David Veale,Research,24-Oct-14,References :,The aim of the study is to determine the size of the problem of being housebound with a mood or anxiety disorder; which diagnoses/problems are the most common presentations; how do services respond; and whether such patients receive adequate treatment.
1616688637-34963,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=15&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Pilot data for application to NIHR Health Technology Assessment call : the Development and Wellbeing Assessment (DAWBA) as an adjunct to clinical practice in child and adolescent mental health services,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1016,Pilot data for application to NIHR Health Technology Assessment call : the Development and Wellbeing Assessment (DAWBA) as an adjunct to clinical practice in child and adolescent mental health services,Johnny Downs,Research,03-Jan-17,References :,"There is a real need to generate evidence concerning the routine use of standardised diagnostic assessment tools for young people referred to CAMHS. This project will provide information on current referral pathways, assessments and diagnostic practices within SLaM CAMHS to inform trial design."
1616688585-34943,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=17&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Mortality among the users of Improving Access to Psychological Therapies (IAPT) in southeast London,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=941,Mortality among the users of Improving Access to Psychological Therapies (IAPT) in southeast London,Chin-Kuo Chang,Research,12-May-16,References :,This study will compare the general mortality for people receiving cognitive behavioural therapy to that in the general population and investigate predictors of risk.
1616688388-34865,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=25&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Examining the Prevalence and Clinical Characteristics of Unipolar Mania in a South London Population,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=763,Examining the Prevalence and Clinical Characteristics of Unipolar Mania in a South London Population,Paul Stokes,Research,13-Oct-14,References :,This study seeks to identify whether patients with unipolar mania are receiving care within SLaM and further seeks to characterise their demographic and clinical characteristics.
1616688611-34953,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=16&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,An Investigation of Diagnostic Stability of Psychotic Major Depression in Clinical Practice,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=969,An Investigation of Diagnostic Stability of Psychotic Major Depression in Clinical Practice,Margaret Heslin,Research,18-Aug-16,References :,The study aims to investigate the diagnostic stability of psychotic major depression in the first five years following first contact with mental health services. This will be compared to the diagnostic stability for schizophrenia.
1616688991-35103,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=1&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Identifying and characterizing patients with serious mental illnesses who are aggressive in secondary mental health care,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1428,Identifying and characterizing patients with serious mental illnesses who are aggressive in secondary mental health care,Giouliana Kadra,Research,05-Dec-19,References :,"This project will investigate the characteristics of patients with serious mental illnesses who are aggressive and investigate profiles of psychotropic medication prescribing (specific types, combinations) and service use."
1616688446-34889,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=23&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Has the pattern of cannabis use changed over a 3 year period for SLaM first episode psychosis patients?,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=839,Has the pattern of cannabis use changed over a 3 year period for SLaM first episode psychosis patients?,Charlotte Collins,Research,11-May-15,References :,This study aims to investigate whether cannabis use has changed over the last 3 years for patients with first episode psychosis (FEP) patients.
1616688702-34990,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=13&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,The impact of substance use on the patient pathway in secure services,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1059,The impact of substance use on the patient pathway in secure services,Helen Goodman,Research,30-Mar-17,References :,"The effect of substance use on the development of psychosis is well known, as is the link between substance use and violence. This project aims to assess the prevalence of forensic inpatient substance misuse and its impact on patient outcomes"
1616688153-34771,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=34&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,"To Investigate How Symptom Domains in Psychotic Disorders (Positive, Negative and Cognitive) Influence Clinical Outcomes",https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=550,"To Investigate How Symptom Domains in Psychotic Disorders (Positive, Negative and Cognitive) Influence Clinical Outcomes",Rashmi Patel,Research,01-Mar-12,References :,"This study aims to investigate how symptom domains in psychotic disorders (positive, negative and cognitive), derived using natural language processing, influence clinical outcomes."
1616688764-35014,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=10&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Earlier detection of dementia with Lewy bodies using natural language processing,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1199,Earlier detection of dementia with Lewy bodies using natural language processing,Robert Stewart,Research,15-Mar-18,References :,"Dementia with Lewy bodies (DLB) is possibly the second or third most common cause of dementia, but is often not detected early enough in clinical services. Using 'natural language processing' (text-mining) techniques, we will look for words and phrases around the time dementia is being investigated to see whether there might be ways to detect DLB at an earlier stage - if successful, this might be developed into a mechanism to prompt clinical staff to think about screening for this disorder."
1616688383-34863,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=25&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Symptom Profile in Serious Mental Illness and Adverse Health Outcomes,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=758,Symptom Profile in Serious Mental Illness and Adverse Health Outcomes,Nishamali Jayatilleke,Research,13-Nov-14,References :,"People with serious mental illness such as schizophrenia suffer from substantially higher levels of early deaths and physical illness than the general population. To date, little information is available about factors that determine the chances of experiencing adverse outcomes such as high levels of hospital admissions, longer hospital stays and deaths. This study aims to identify symptoms that may be present more commonly among patients with adverse outcomes and thereby potentially help identify preventive measures for those at particular risk. The study also investigates the hypothesis that patients with schizophrenia presenting with negative or positive symptoms are at greater risk of deaths."
1616688737-35003,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=11&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Developing prognostic models for people with Anorexia Nervosa II,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1135,Developing prognostic models for people with Anorexia Nervosa II,Carol Kan,Research,17-Oct-17,References :,"Less than 50% of patients recover from anorexia nervosa, rending treatment unsatisfactory.  This study will develop a mathematical model to predict the risk of inpatient admission, with the potential to guide clinical decisions on management."
1616688060-34735,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=38&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Clinical and Behavioural Factors which Predict Length of Admission in a Forensic Psychiatric Hospital,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=489,Clinical and Behavioural Factors which Predict Length of Admission in a Forensic Psychiatric Hospital,Abril Garcia-Negron,Research,28-Jan-13,References :,"The objective of this research is to identify the characteristics and needs of longer-stay patients in a Forensic Psychiatric Hospital. Consistent with this objective, this research aims to investigate whether admission characteristics (index offence leading to admission and legal status at time of admission), clinical factors (symptoms of mental illness and comorbidity with personality disorder) or patient behavioural factors (violent incidents on ward and lack of personal support) are associated with  length of admission."
1616688322-34839,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=28&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Dementia Diagnosis Recording in Hospitalisation and Death Certification Records,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=685,Dementia Diagnosis Recording in Hospitalisation and Death Certification Records,Robert Stewart,Research,09-Jun-14,"References :
                            https://kclpure.kcl.ac.uk/portal/en/publications/reporting-of-clinically-diagnosed-dementia-on-death-certificates(3fff45ca-a8ac-443b-bbd4-700f061e7426).html","To investigate, in people who have received a dementia diagnosis in mental healthcare, how often that diagnosis is present in hospitalisation and/or death certificate records."
1616688385-34864,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=25&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Mortality in Chronically Fatigued Patients in SLaM,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=762,Mortality in Chronically Fatigued Patients in SLaM,Emmert Roberts,Research,11-Nov-14,"References :
                            Mortality of people with chronic fatigue syndrome: A retrospective cohort study in England and Wales from the South London and Maudsley NHS Foundation Trust Biomedical Research Centre (SLaM BRC) Clinical Record Interactive Search (CRIS) Register Roberts E., Wessely S., Chalder T., Chang C K., & Hotopf M 10 Feb 2016 In: The Lancet p 1-6",The study will investigate mortality and cause of death associated with chronic fatigue syndrome.
1616688079-34742,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=37&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Electronic Health Records to Predict HOspitalised Suicide Attempts: Targeting Information Technology Solutions (e-HOST-IT),https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=497,Electronic Health Records to Predict HOspitalised Suicide Attempts: Targeting Information Technology Solutions (e-HOST-IT),Rina Dutta,Research,22-Mar-13,"References :
                            https://kclpure.kcl.ac.uk/portal/en/publications/reviewing-a-decade-of-research-into-suicide-and-related-behaviour-using-the-south-london-and-maudsley-nhs-foundation-trust-clinical-record-interactive-search-cris-system(e3b6ae66-8d72-413f-9dec-52cc1918a1e6).html",This study aims to investigate if using structured and free-text electronic patient record data from CRIS can enhance the predictive potential of known risk factors for serious suicide attempts and completed suicide.
1616688748-35008,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=11&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Improving psychiatric nosology (as part of the STRATIFY project),https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1150,Improving psychiatric nosology (as part of the STRATIFY project),Francesca Biondo,Research,24-Oct-17,References :,"This project aims to interrogate electronic health records using CRIS to identify clinical symptoms related to adverse functional outcome, and to map symptom profiles to outcomes irrespective of diagnostic categories."
1616688714-34994,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=12&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Outcomes in perinatal services,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1065,Outcomes in perinatal services,Alastair Macdonald,Research,20-Apr-17,"References :
                            Mother and Baby Unit matter: Improved outcomes for both, published April 19th 2018

https://kclpure.kcl.ac.uk/portal/en/publications/mother-and-baby-units-matter(d0c93807-bbda-4284-93d1-dbca132fc428).html","We need to know more about the outcomes of treatment in mother-and-baby units, in which women who have just given birth can stay with their babies, so that the case for more such units can be made. The project will report these outcomes from the largest unit in UK."
1616688240-34806,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=31&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Natural Language Processing Work by NEC to Develop Physical Health Measures in CRIS,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=624,Natural Language Processing Work by NEC to Develop Physical Health Measures in CRIS,Robert Stewart,Research,21-Nov-13,References :,"This study is a collaboration between CRIS and NEC, seeking to develop an application which can provide automated text-derived information on a range of physical disorders."
1616688583-34942,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=17&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Identifying precipitating causes of pneumonia in patients taking antipsychotics,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=939,Identifying precipitating causes of pneumonia in patients taking antipsychotics,Ronan McIvor,Research,05-May-16,References :,This study will identify precipitating causes for the development of pneumonia in patients taking antipsychotic medication.
1616688842-35043,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=7&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Investigating bias in the natural language processing of electronic health records,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1273,Investigating bias in the natural language processing of electronic health records,Angus Roberts,Research,09-Oct-18,References :,"When clinicians describe patients in medical records, their language may reflect bias against certain groups of patients or conditions. This project will study the language of electronic health records to see if such biases can be detected and measured."
1616688037-34726,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=39&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,The effect of education level and belief flexibility on readmission rates following a course of CBT for psychosis,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=473,The effect of education level and belief flexibility on readmission rates following a course of CBT for psychosis,Mishael Soremekun,Research,08-Jul-11,References :,This study aims to assess the overall effect of education level (EL) and belief flexibility (BF) on readmission rates in people with psychosis and those following a course of Cognitive Behavioural Therapy for psychosis (CBTp).
1616688646-34967,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=15&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Outcomes of patient's with very late-onset schizophrenia-like psychosis,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1021,Outcomes of patient's with very late-onset schizophrenia-like psychosis,Chun Chiang Sin Fai Lam,Research,04-Jan-17,References :,This project will investigate longer term outcomes including physical health conditions and mortality rates in people with very late-onset schizophrenia-like psychosis.
1616688618-34956,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=16&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,One Support Discharge Service Evaluation,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=976,One Support Discharge Service Evaluation,Margaret Heslin,Research,25-Aug-16,References :,The study will evaluate the impact of the One Support discharge support service commissioned by Lambeth Clinical Commissioning group to manage mental health hospital discharges with people with complex needs.
