web-scraper-order,web-scraper-start-url,Title Links,Title Links-href,B Number and Title,B number,Principal applicant name,Co-applicants,Title of project,Proposal summary,Impact of research,Date proposal received,Date proposal approved,Keywords
1616723033-1284,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=79,B1513 - Do hypertensive disorders and anaemia in pregnancy increase the risk of respiratory and atopic diseases in childhood - 14/02/2013,https://proposals.epi.bristol.ac.uk/?q=node/126124,B1513 - Do hypertensive disorders and anaemia in pregnancy increase the risk of respiratory and atopic diseases in childhood - 14/02/2013,B1513,"Prof Seif  Shaheen (Barts and London School of Medicine, UK)","Prof John  Henderson (University of Bristol, UK), Prof Debbie A Lawlor (University of Bristol, UK), Dr Corrie  Macdonald (University of Bristol, UK)",Do hypertensive disorders and anaemia in pregnancy increase the risk of respiratory and atopic diseases in childhood?,Background:,null,"Thursday, 14 February, 2013","Thursday, 14 February, 2013","Pregnancy, Asthma"
1616721210-527,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=115,B615 - Meta-analysis of genome-wide association studies on pulmonary function measured by forced expiratory volume in Caucasian - 18/02/2008,https://proposals.epi.bristol.ac.uk/?q=node/126862,B615 - Meta-analysis of genome-wide association studies on pulmonary function measured by forced expiratory volume in Caucasian - 18/02/2008,B615,"Prof Tim  Spector (King's College London, UK)","Guangju   Zhai (Not used 0, Not used 0)",Meta-analysis of genome-wide association studies on pulmonary function measured by forced expiratory volume in Caucasian,"We and others previously reported that pulmonary function measured by the ratio of measured to predicted forced expiratory volume in one second (FEV1) - percent predicted FEV1(ppFEV1), which is used to diagnose chronic obstructive pulmonary disease (COPD) and asthma, is highly heritable. To identify specific genetic factors influencing on ppFEV1, we conducted a prospective meta-analysis on the results of four independent genome-wide association studies in healthy Caucasian non-smoker population. We identified two chromosomal regions - 2p25.3 and 8q12.3 are interesting and may play a role in pulmonary function. we therefore selected two SNPs (rs4971396 which is located in SNTG2 on chr2 and rs7017559 which is located on chr8) within these two regions which were associated with ppFEV1 and would like to replicate the association in the ALSPAC.",null,"Monday, 18 February, 2008","Monday, 18 February, 2008",Genetics
1616723267-1373,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=74,B2059 - Dual trajectories of adolescent smoking and depression - 15/08/2013,https://proposals.epi.bristol.ac.uk/?q=node/126039,B2059 - Dual trajectories of adolescent smoking and depression - 15/08/2013,B2059,"Dr Allison  Carroll (Northwestern University, USA)","Miss Lea  Trela-Larsen (University of Bristol, UK), Prof Marcus  Munafo (University of Bristol, UK), Dr Jon  Heron (University of Bristol, UK)",Dual trajectories of adolescent smoking and depression.,Project outline:,null,"Wednesday, 31 July, 2013","Thursday, 15 August, 2013","Depression, Mental Health, Psychology"
1616721936-859,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=100,B980 - EAGLE Communication GWAS meta-analysis - 23/03/2010,https://proposals.epi.bristol.ac.uk/?q=node/126564,B980 - EAGLE Communication GWAS meta-analysis - 23/03/2010,B980,"Dr Beate  Glaser (University of Bristol, UK)","Dr Dave  Evans (Not used 0, Not used 0), Dr Nic  Timpson (Not used 0, Not used 0), Prof George  Davey Smith (Not used 0, Not used 0)",EAGLE Communication GWAS meta-analysis,Not available,null,"Tuesday, 23 March, 2010","Tuesday, 23 March, 2010",Genetics
1616723970-1648,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=60,B2381 - Trajectories of Brain Injury in the ALSPAC cohort - 22/01/2015,https://proposals.epi.bristol.ac.uk/?q=node/125750,B2381 - Trajectories of Brain Injury in the ALSPAC cohort - 22/01/2015,B2381,"Eleanor  Kennedy (Not used 0, Not used 0)","Prof Marcus  Munafo (University of Bristol, UK), Prof Ian  Penton-Voak (University of Bristol, UK), Dr Jon  Heron (University of Bristol, UK)",Trajectories of Brain Injury in the ALSPAC cohort,Aims:,null,"Monday, 19 January, 2015","Thursday, 22 January, 2015",Cognition
1616726772-2744,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=4,B3647 - Air pollution exposure and childhood obesity - 02/11/2020,https://proposals.epi.bristol.ac.uk/?q=node/130237,B3647 - Air pollution exposure and childhood obesity - 02/11/2020,B3647,Serena Fossati | ISGLOBAL (Spain),Martine Vrijheid,Air pollution exposure and childhood obesity,"Prenatal exposure to air pollution is robustly associated with fetal growth

restriction and low birth weight, a risk factor for altered cardio-metabolic diseases

later in life. Air pollution has also been associated with obesity and

cardiometabolic disease in adulthood. However, little is known on the association

between air pollution and obesity in infancy and childhood",,"Friday, 30 October, 2020","Monday, 2 November, 2020","Epidemiology, Obesity, Statistical methods, Environment - enviromental exposure, pollution"
1616720251-145,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=134,B81 - Adaptive modelling of human infant growth - 01/11/2002,https://proposals.epi.bristol.ac.uk/?q=node/127266,B81 - Adaptive modelling of human infant growth - 01/11/2002,B81,"Prof Jonathan  Wells (University College London, UK)",,Adaptive modelling of human infant growth.,(No outline received).,null,"Friday, 1 November, 2002","Friday, 1 November, 2002","Endocrine, Growth, Obesity, Weight"
1616720690-321,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=125,B344 - Environment and Injury Outcomes - 13/04/2006,https://proposals.epi.bristol.ac.uk/?q=node/127080,B344 - Environment and Injury Outcomes - 13/04/2006,B344,"Dr Lisa  DeRoo (National Institutes of Health, USA)","Dr Andres  Villaveces (University of North Carolina, USA)",Environment and Injury Outcomes.,(No outline received).,null,"Thursday, 13 April, 2006","Thursday, 13 April, 2006","Environment, Injury"
1616724692-1925,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=45,B2721 - Investigating relational learning for analysing associations between methylation and phenotypes - 03/08/2016,https://proposals.epi.bristol.ac.uk/?q=node/127621,B2721 - Investigating relational learning for analysing associations between methylation and phenotypes - 03/08/2016,B2721,"Louise Millard | IEU, UoB",Tom Gaunt,Investigating relational learning for analysing associations between methylation and phenotypes,"Analyses of DNA methylation has to date focused on single-point analyses such as epigenome-wide association studies, that test the association of each CpG individually with a phenotype. While this can be informative, they result in a large number of tests, and do not make use of the known stucture of the epi-genome. Also, there is other information, such as about biological pathways (available in online databases such as Reactome) that may be informative.",null,"Tuesday, 26 July, 2016","Wednesday, 3 August, 2016","Bioinformatics, BMI, smoking, Epigenetics"
1616723443-1441,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=70,B2141 - GWAS of fetal genome with hypertensive disorder of pregnancy - 16/01/2014,https://proposals.epi.bristol.ac.uk/?q=node/125962,B2141 - GWAS of fetal genome with hypertensive disorder of pregnancy - 16/01/2014,B2141,"Dr= Linda  Morgan (University of Nottingham, UK)","Dr Ralph  McGinnis (Wellcome Trust Sanger Institute, Hinxton, Cambridge, UK), Prof Debbie A Lawlor (University of Bristol, UK), Dr Kaitlin  Wade (University of Bristol, UK)",GWAS of fetal genome with hypertensive disorder of pregnancy.,GWAS require large sample sizes and collaborative efforts. Identifying the maternal and fetal genetic contributions to pre-eclampsia is important for understanding the mechanisms causing this condition.,null,"Friday, 10 January, 2014","Thursday, 16 January, 2014",Blood Pressure
1616721200-523,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=115,B611 - Validation and Replication of Genetic Variants in Predicted microRNA Binding Sites and their Effect on mRNA Expression Levels - 31/01/2008,https://proposals.epi.bristol.ac.uk/?q=node/126866,B611 - Validation and Replication of Genetic Variants in Predicted microRNA Binding Sites and their Effect on mRNA Expression Levels - 31/01/2008,B611,"Dr Cecilia  Lindgren (University of Oxford, UK)","Nick  Timpson (University of Bristol, UK),  Mahim  Jain (University of Oxford, UK)",Validation and Replication of Genetic Variants in Predicted microRNA Binding Sites and their Effect on mRNA Expression Levels,Scientific case for doing the genetic association study in ALSPAC (up to about three pages) :,null,"Thursday, 31 January, 2008","Thursday, 31 January, 2008",Genetics
1616720058-67,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=138,B698 - Study of CRHR1 and HSD11B1 genetic variants in ALSPAC - 01/01/1900,https://proposals.epi.bristol.ac.uk/?q=node/126795,B698 - Study of CRHR1 and HSD11B1 genetic variants in ALSPAC - 01/01/1900,B698,"Santiago  Rodriguez (Not used 0, Not used 0)","Dr Tom  Gaunt (Not used 0, Not used 0)",Study of CRHR1 and HSD11B1 genetic variants in ALSPAC,null,null,"Tuesday, 9 September, 2008","Monday, 1 January, 1900",Genetics
1616724736-1942,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=44,B2742 - How does primary school shape adolescent mental health and health-related behaviours - 10/11/2016,https://proposals.epi.bristol.ac.uk/?q=node/127602,B2742 - How does primary school shape adolescent mental health and health-related behaviours - 10/11/2016,B2742,"Alison Parkes | MRC/CSO Social and Public Health Sciences Unit,  (United Kingdom)","Dr Marion Henderson, Ruth Dundas, Professor Daniel Wight, Dr Helen Sweeting",How does primary school shape adolescent mental health and health-related behaviours?,"This study will explore the role of primary schools in shaping adolescents’ mental health and health-related behaviours (e.g. smoking). It will investigate both pupils’ individual experiences of school (e.g. relationships with teachers) and broader school factors (e.g ‘ethos’). There are significant gaps in our current understanding, especially the role of children’s own perspectives of their school environment. Research on how the broader primary school context shapes children’s well-being is very limited, and there is none on its impact on adolescent health or behaviours. Nor do we know if (or how) primary school experiences might impact on differences in the health or behaviours of adolescents from more, compared with less, disadvantaged backgrounds.",null,"Tuesday, 6 September, 2016","Wednesday, 7 September, 2016","Social Science, Behaviour - e.g. antisocial behaviour, risk behaviour, etc., Mental health, Statistical methods, Childhood - childcare, childhood adversity, School environment"
1616726607-2679,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=7,B3580 - Investigating the Activity of Transposon-Derived Regulatory Sequences in the Human Placenta - 04/08/2020,https://proposals.epi.bristol.ac.uk/?q=node/130175,B3580 - Investigating the Activity of Transposon-Derived Regulatory Sequences in the Human Placenta - 04/08/2020,B3580,Jennifer Frost | Queen Mary University of London (UK),Dr Miguel Branco,Investigating the Activity of Transposon-Derived Regulatory Sequences in the Human Placenta,"The placenta is crucial for the initiation and maintenance of pregnancy.  Common complications of human pregnancy, such as preeclampsia, often have unknown etiology but feature contributions from genetic and non-genetic causes.  DNA exists in the cell bound by proteins and other molecules, forming a structure known as chromatin.  The structural conformation of chromatin is just as important as the DNA code itself, since chromatin structure dictates which components of DNA are active, and therefore able to regulate the cell.  Formalin-fixed placentas maintain the structural conformation of their chromatin, making them a uniquely valuable resource to identify the location and activity of regulatory DNA.  My proposal seeks to investigate the causes of preeclampsia by comparing the chromatin structure in formalin-fixed placentas from control pregnancies and those complicated with preeclampsia.  I will focus on regions of non-coding DNA that regulate gene activity, so-called gene promoters and enhancers, including a special subset of these regions known as transposons.  Placental chromatin exhibits a unique structure compared to other tissues, featuring an open conformation around transposons, indicative of their activity in placenta. The activity of gene-regulatory DNA provides the basis of tissue and organ-specific developmental programs. As such, the development and function of the placenta is dictated by the activity of regulatory DNA, and structural variation at these regions can cause disease. I will test the hypothesis that chromatin structure variation of DNA regulatory sequences contributes to the causes of preeclampsia.","This research will provide proof-of-principal that archived placental samples can provide information on the gene regulatory status of the genome of the sample. Further, there will be a direct impact of the data provided from the samples in this study, in the identification of non-coding regulatory regions that are potentially involved in preeclampsia. This would lead to future expansion of the study into related pregnancy complications such as fetal growth restriction, pre-term birth, and recurrent miscarriage. 

This study will provide candidate genomic sequences for future research, as well as genetic screening and therapy in two ways: Most disease associated sequence variation is found in non-coding regions, and our data will be an important resource, revealing non-coding candidate regulatory regions impacted by epigenetic variation, which indicates that their genetic variation may also be disease-causing. In the future it will be key to investigate the presence of SNPs in candidate regulatory regions that we identify, which may alter transcription factor binding sites, for example, affecting gene expression. Secondly, the proposal investigates epigenetic variation between preeclampsia and controls, variation that is potentially impacted by environmental conditions and uniquely amenable to therapeutic intervention. Finally, by focusing our analysis on transposons, which are highly repetitive regions and poorly understood, this project will elucidate novel candidate genes and regulatory pathways that may contribute to the pathogenesis of preeclampsia.","Thursday, 23 July, 2020","Thursday, 23 July, 2020","Developmental biology, Fertility/infertility, Pregnancy - e.g. reproductive health, postnatal depression, birth outcomes, etc., DNA sequencing, Chromatin immunoprecipitation, Biological samples -e.g. blood, cell lines, saliva, etc., Birth outcomes, Development, Epigenetics, Expression, Genetic epidemiology, Genomics, Growth, Mothers - maternal age, menopause, obstetrics"
1616726283-2552,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=14,B3441 - Changing causes and consequences of underweight overweight and obesity a historical comparison of the UK and Norway 1984-202 - 14/01/2020,https://proposals.epi.bristol.ac.uk/?q=node/130034,B3441 - Changing causes and consequences of underweight overweight and obesity a historical comparison of the UK and Norway 1984-202 - 14/01/2020,B3441,Amanda Hughes | University of Bristol (United Kingdom),,"Changing causes and consequences of underweight, overweight, and obesity: a historical comparison of the UK and Norway, 1984-202","In high-income countries, underweight is largely ignored in health research, despite a clear link with worse health and higher mortality risk. But in the UK, where changes to welfare policy have been accompanied by an explosion in foodbank use, social differences in underweight must be reassessed. This project will be the first comprehensive investigation of present-day inequalities in low body weight in Britain. Considering adults, children and adolescents, we will describe the extent of inequalities, and identify the most vulnerable groups. We will shed light on causes, by comparing inequalities in present-day UK with inequalities in other policy contexts: the UK in the 1990s and 2000s, and Norway from the 1980s to the present day.

Starkly raised risk of underweight was recently found among British adult jobseekers, and higher risk of thinness among younger disadvantaged children. Reported after substantial changes to welfare policy, it is not clear if such inequalities existed before those changes, if similar patterns are seen in other countries, or which other disadvantaged groups are affected. We will find out when these patterns first emerged in the UK, by comparing data from the 1990s, 2000s and 2010s. To see if they only occur in certain policy contexts â strongly suggesting they are avoidable - we will also use data from Norway, which in the same period had different welfare policies and a lower poverty rate. To identify other vulnerable groups, we will look at underweight among adults in low-income employment, and children and adolescents in households affected by unemployment and low-income employment.

The project therefore fills three urgent needs: to describe the extent of inequalities in low body weight, to identify groups of vulnerable adults and children, and to understand the causes of these inequalities. Policymakers currently do not have the knowledge required to consider inequalities across the full body weight range, and this project will fill that gap.","1.	Unlike with obesity, we simply do not know enough about inequalities in low body weight for decision-makers to consider them in policy. This project will provide that knowledge.
2.	By providing the first large-scale evidence of social inequalities in body weight across the entire range, results can be used by non-profit groups aiming to reduce the impact of poverty on nutrition and health.
3.	Through both routes, the people who ultimately stand to benefit most will be individuals and families affected by low income, unemployment, and changes to welfare policy.","Friday, 10 January, 2020","Tuesday, 14 January, 2020","Epidemiology, Obesity, Statistical methods, BMI, Childhood - childcare, childhood adversity, Social science"
1616725846-2379,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=22,B3267 - Offspring adaptation to social isolation Testing a novel prenatal social environment adaptation hypothesis - 05/03/2019,https://proposals.epi.bristol.ac.uk/?q=node/129864,B3267 - Offspring adaptation to social isolation Testing a novel prenatal social environment adaptation hypothesis - 05/03/2019,B3267,Jamie Murphy | Ulster University (United Kingdom),"Amanda Spikol, Mark Shevlin, Donal McAteer",Offspring adaptation to social isolation: Testing a novel prenatal social environment adaptation hypothesis,null,Advancement of the prenatal environmental adaptation hypothesis,"Tuesday, 5 March, 2019","Tuesday, 5 March, 2019","Mental health - Psychology, Psychiatry, Cognition, Mental health, Statistical methods, Statistical methods"
1616724731-1941,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=45,B2554 - Identifying patterns in accelerometer data and investigating their association with other factors - 09/09/2016,https://proposals.epi.bristol.ac.uk/?q=node/127762,B2554 - Identifying patterns in accelerometer data and investigating their association with other factors - 09/09/2016,B2554,"Louise Millard | Integrative Epidemiology Unit, UoB (Bristol)",Dr Tom Gaunt,"Identifying patterns in accelerometer data, and investigating their association with other factors","ALSPAC includes Actigraph accelerometer data for approximately 5.5K and 3.2K participants at age 11 and 14 respectively. To date the data recorded by the accelerometer has been used to generate only a small number of phenotypes – moderate to vigorous physical activity (MVPA) and average counts per minute (CPM), a measure of total activity. There is much potential to extract other useful patterns from this data that may be 1) risk factors for 2) causally affected by or 3) causally affect, other phenotypes.",null,"Friday, 9 October, 2015","Wednesday, 7 September, 2016","Statistics/methodology, Statistical methods"
1616725940-2416,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=20,B3302 - Road traffic injuries and risk behaviours in children and young people with special educational needs - 29/04/2019,https://proposals.epi.bristol.ac.uk/?q=node/129901,B3302 - Road traffic injuries and risk behaviours in children and young people with special educational needs - 29/04/2019,B3302,"Julie Mytton | University of the West of England, Bristol","Dr Nicola Christie, Sarah O'Toole, Dr Elizabeth Orton, Prof Alan Emond",Road traffic injuries and risk behaviours in children and young people with special educational needs,"Road traffic injuries are known to affect the vulnerable in our society. Children travelling to and from school, and young people especially young road drivers, are known to be at risk of being involved in a road traffic crash. We wish to explore whether children and young people with special educational needs (including physical or behavioural disabilities or learning difficulties) are at an increased risk of being injured in a road traffic crash. By better understanding how children with special educational needs are involved in road traffic crash events we can develop and test targeted interventions to prevent these injuries and deaths, and support the parents and carers of children and young people with special educational needs.",The identification of vulnerable road users and associated risk factors for injury may inform policy and prevention / intervention efforts to reduce road traffic injuries. Understanding how the risk of road traffic injury compares in children with SEND to those in typically developing young people may inform efforts to support these young people to keep safe on the roads. The parents and carers of young people with SEND may be more involved in providing support to their children beyond the time period of young people without such needs. The outputs from this research may therefore inform parents and carers of any additional risk their child may face and lead to improved resources for parents and carers. We intend to distribute outputs from this research to networks of organisations working with young people with SEND. Outputs will also include peer reviewed publications and conference presentations.,"Saturday, 20 April, 2019","Monday, 29 April, 2019","Epidemiology, Injury, Statistical methods, Injury (including accidents)"
1616722970-1259,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=80,B1478 - The epidemiology of acne vulgaris - 06/12/2012,https://proposals.epi.bristol.ac.uk/?q=node/126158,B1478 - The epidemiology of acne vulgaris - 06/12/2012,B1478,"Dr Ketaki  Bhate (University of Nottingham, UK)","Prof Hywel  Williams (University of Nottingham, UK), Dr Carol  Coupland (University of Nottingham, UK)",The epidemiology of acne vulgaris.,Introduction,null,"Thursday, 6 December, 2012","Thursday, 6 December, 2012",Skin
1616726914-2800,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=1,B3714 - Hypersensitivities and Aversions across the 5-senses - 09/03/2021,https://proposals.epi.bristol.ac.uk/?q=node/130315,B3714 - Hypersensitivities and Aversions across the 5-senses - 09/03/2021,B3714,Julia Simner | University of Sussex (UK),Dr Louisa Rinaldi,Hypersensitivities and Aversions across the 5-senses,"Most people have a comfortable tolerance for information received via their sense organs (i.e., sounds, tastes, smells etc.) while others have SENSORY SENSITIVITIES (i.e., over-reactivity, such as when sounds feel too loud) or SENSORY AVERSIONS (negative emotional responses, e.g., when sounds trigger anger, e.g., to the sound of chewing). Our prior proposal (approved and ongoing) investigates AUDITORY sensitivities (hyperacusis and misophonia; where sounds cause pain, or distress/anger respectively). However, sound-difficulties are just one branch of a broader profile which can affect multiple senses, and cause considerable negative impact in day to day life. For example, broad sensory sensitivities play a significant role in anxiety disorder (sometimes via neurodevelopmental conditions such as autism). With poor well-being and anxiety placing substantial financial burden on society (e.g., £12 billion invested annually by the NHS), our study aims to better understand sensory sensitivities and aversions with a questionnaire that identifies those ALSPAC participants who have such difficulties across multiple senses. The wealth of ALSPAC back-data will then allow us to “reach back” into their childhood, to explore their early development in terms of wellbeing, mental health, mood and feelings (DAWBA, Strengths and difficulties, mood and feelings, PANAS, Locus of control, anxiety) as well as their cognitive skills (eg., attention tasks), and schooling attainment (school key stage linked data). We predict that adults with sensory sensitivities/aversions were likely already expressing poorer mental well-being at a younger age, and may have heightened scores on tasks such as attention-to-detail and obsessive control, and potentially lower scores on school attendance and attainment.","The impact of our research is likely to be considerable, both in terms of developments in the field, and also on the lives of people who struggle with sensory difficulties. For the field, our work aims to make the first distinction between sensory SENSITIVITIES (caused by over-stimulation; i.e., sensory bombardment) and sensory AVERSIONS (caused by an affective or emotional dysregulation; e.g., anger-responses). And within this latter we aim to provide a grand theory of sensory aversions where these had been studied previously only in the auditory domain (as misophonia). In other words, we hope to show for the first time that misophonia may be a sub-category of a wider family of aversions we term misesthesia (hatred of sensations), and that these differ in quality and aetiology to sensory sensitivities.","Tuesday, 2 February, 2021","Thursday, 4 February, 2021","Mental health - Psychology, Psychiatry, Cognition, Behaviour - e.g. antisocial behaviour, risk behaviour, etc., Developmental disorders - autism, Eating disorders - anorexia, bulimia, Mental health, Sensory differences; sensory sensitivities ; sensory aversions, Statistical methods, Childhood - childcare, childhood adversity, Cognition - cognitive function, Development, Intelligence - memory, Mothers - maternal age, menopause, obstetrics, Parenting, Psychology - personality"
1616722982-1264,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=80,B1488 - Maternal alcohol use during pregnancy and offspring growth trajectories - 17/01/2013,https://proposals.epi.bristol.ac.uk/?q=node/126148,B1488 - Maternal alcohol use during pregnancy and offspring growth trajectories - 17/01/2013,B1488,"Dr Laura  Howe (University of Bristol, UK)","Dr Linda  O'Keeffe (University of Cork, Europe), Dr Patricia  Kearney (University of Cork, Europe), Prof Richard  Greene (University of Cork, Europe), Prof Kate  Tilling (University of Bristol, UK), Prof Debbie A Lawlor (University of Bristol, UK), Dr Andrew  Smith (University of Bristol, UK)",Maternal alcohol use during pregnancy and offspring growth trajectories.,"Maternal alcohol drinking during pregnancy and offspring trajectories of height, weight and head circumference",null,"Thursday, 17 January, 2013","Thursday, 17 January, 2013","Alcohol, Pregnancy, Growth"
1616725908-2404,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=21,B3292 - How weight and body size affect young peoples experience of school and academic achievement a qualitative study - 15/04/2019,https://proposals.epi.bristol.ac.uk/?q=node/129893,B3292 - How weight and body size affect young peoples experience of school and academic achievement a qualitative study - 15/04/2019,B3292,Beki Langford | University of Bristol (Bristol),"Dr Laura Howe, Dr Christie Cabral, Dr Ali Heawood, Dr Alisha Davies",How weight and body size affect young people’s experience of school and academic achievement: a qualitative study,"Children who are above a âhealthyâ weight (medically classified as a BMI of over 25kg/m2) tend to do less well at school than their âhealthyâ weight peers. Studies which followed children up over time found those who were overweight or obese tended to do less well, particularly for maths. This difference was mainly found in girls, and tended to emerge in the teenage years.","Thirty percent of children aged 2-15 years in England are overweight or obese. Quantitative data suggests these young people will tend to do less well at school than their ‘healthy weight’ peers. As little is known about the mechanisms by which weight may affect educational performance, this qualitative study will be of interest to both educational and public health practitioners and policy-makers.

Findings from this study will be written up into scientific papers and presented at scientific conferences. We will also provide summaries of our findings to different groups, including young people, schools, and health and education professions in Local Authorities.","Tuesday, 9 April, 2019","Tuesday, 9 April, 2019","Social Science, Obesity, Qualitative study, Social science"
1616720669-312,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=125,B328 - Socio-economic Deprivation and Respiratory Health - 20/03/2006,https://proposals.epi.bristol.ac.uk/?q=node/127093,B328 - Socio-economic Deprivation and Respiratory Health - 20/03/2006,B328,"Julie  Williams (University of Bristol, UK)",,Socio-economic Deprivation and Respiratory Health.,"This project will address the question of health inequalities, by addressing the relationships between measures of socio-economic deprivation and respiratory health, particularly wheezing illnesses, asthma and lung function. The first part of the study will focus on the detailed information on respiratory health and socio-economic factors in the Avon Longitudinal Study of Parents and Children (ALSPAC) to determine the association of socio-economic deprivation and respiratory outcomes during childhood. We will further investigate these associations by attempting to identify explanatory variables, including lifestyle (smoking, diet) and environmental exposures. Observed associations will then be examined using a lifecourse epidemiological approach to investigate whether associations that we observe in a contemporary population of children (ALSPAC) are reproducible across previous generations in the United Kingdom and whether deprivation in childhood is associated with adult respiratory outcomes, independently of adult socio-economic status. In turn, this will allow us to explore the possible effects of social mobility on adult respiratory health. The project brings together expertise on the analysis of inequalities in health from an economics perspective, with a focus on measures of access to resources, and the exploitation of dynamics in data and the use of GIS tools to map local features to individuals (in the Department of Economics), childhood respiratory epidemiology, including assessment of asthma and lung function in a longitudinal birth cohort sample (Department of Community-based Medicine) and the multidisciplinary specialty of lifecourse epidemiology, including access to archived information on other existing cohorts (Department of Social Medicine). Therefore, this is a unique opportunity to build a global, comprehensive picture of the factors associated with socio-economic deprivation in the U.K. and their potential effects on an important aspect of public health.",null,"Monday, 20 March, 2006","Monday, 20 March, 2006",Respiratory
1616722253-982,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=94,B1123 - Psychological problems associated with lower urinary tract symptoms in women - 28/02/2011,https://proposals.epi.bristol.ac.uk/?q=node/126445,B1123 - Psychological problems associated with lower urinary tract symptoms in women - 28/02/2011,B1123,"Dr Carol  Joinson (University of Bristol, UK)",,Psychological problems associated with lower urinary tract symptoms in women.,"Psychiatric problems have been identified as risk factors for, and outcomes of, lower urinary tract symptoms (LUTS) in women including, urgency, frequency, nocturia and incontinence. However, studies of the association between psychosocial and emotional factors and LUTS in women are limited. Although there is a growing body of evidence suggesting that LUTS are associated with increased risk of anxiety and depression, few studies have estimated these associations in a large population-representative sample of women. In a population based study including results from more than 3,000 women, Litman et al (2007) found that only depressive symptoms correlated with LUTS, but this was based on a cross-sectional design. In another cross sectional study conducted via the internet, LUTS were associated with increased levels of anxiety and depressive symptoms (Coyne et al. 2009). However, the response rate to the study was only 59%, so selection bias may have affected the findings (e.g. individuals with higher levels of depression and anxiety symptoms may have been more likely to the respond to the study). There is also evidence from small clinic-based studies for an association between LUTS and psychiatric co-morbidities (Klausner et al. 2009; Maccaulay et al. 1991; Stone & Judd, 1978; Zorn et al. 1999; Bodden-Heidrich et al. 1999).",null,"Monday, 28 February, 2011","Monday, 28 February, 2011",Mental Health
1616725510-2247,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=29,B3103 - Decsription of blood count data and associations of adiposity and insulin with blood counts - 08/05/2018,https://proposals.epi.bristol.ac.uk/?q=node/129712,B3103 - Decsription of blood count data and associations of adiposity and insulin with blood counts - 08/05/2018,B3103,Laura Howe | MRC IEU (United Kingdom),"Lucy Goudswaard, Dr Inge Hers","Decsription of blood count data, and associations of adiposity and insulin with blood counts","People who are at an increased risk of thrombosis (clots) are often given antiplatelet drugs such as clopidogrel and prasugrel. These drugs work by reducing the activity of platelets, thereby reducing the risk of clots forming. It is understood that obese and diabetic people have more reactive platelets than healthy people. These subgroups of people therefore have an increased risk of having a heart attack or a stroke, even if they are taking these antiplatelet drugs. The processes that lead to this increased platelet reactivity in obese and patients with diabetes are unclear. This project aims to determine whether there is an association between BMI/insulin and increased platelet reactivity in young adults and to identify potential causes of this increased reactivity.","It is important to understand what causes the increased platelet reactivity in these subgroups of patients, and why some drugs are less effective at reducing this platelet activity. This understanding may reveal new targets which may be therapeutic in reducing thrombosis and heart attack/stroke risk.","Wednesday, 25 April, 2018","Thursday, 26 April, 2018","Physiology, Biological samples -e.g. blood, cell lines, saliva, etc."
